name     redshift     t0         t0err              x0              x0err          x1             x1err          x2                 x2err      mwebv         cov_x0x1       cov_x0x2           cov_x1x2     chiquad/dof modelo
05D3lr     0.6       53539.6   0.677921         5.53121e-06     3.57622e-07     0.697869        0.825238        0.00754204       0.0982952    0.011      -1.65002e-07    -2.57507e-08       -0.00150617     0.136933   salt2
05D3lr     0.6       53539.9   0.745297         1.56112e-05     1.30372e-06     0.494142        0.34792         0.795836         0.798955     0.011       6.66179e-08     9.93737e-07        0.0554105      0.0921241  exp3
05D3lr     0.6       53539.8   0.797247         1.41779e-05     7.71e-07        0.447875        0.376417        0.0397059        0.0973902    0.011      -4.83677e-08    -6.65505e-08        0.00462692     0.154292   exp2lc
04D2gb     0.45      53108.2   0.258147         1.24357e-05     1.69151e-07    -1.48224         0.206127        0.0194959        0.0219266    0.0201     -9.39853e-09    -2.11177e-09       -0.000636923    1.03203    salt2
04D2gb     0.45      53107.9   0.000281727      3.63237e-05     8.76205e-07    -0.446477        0.0818527       1.54395          0.190128     0.0201     -5.41209e-09     1.54213e-07       -0.00088619    11.0127     exp3
04D2gb     0.45      53107.4   0.336112         3.05461e-05     4.59189e-07    -0.356747        0.100293        0.0444279        0.0226045    0.0201      1.12539e-08    -7.03875e-09       -0.000491953    5.97098    exp2lc
sn2003iv   0.034307  52934     0.170022         0.00295413      2.67235e-05    -2.19593         0.11468        -0.09397          0.00785473   0.137      -1.05377e-07    -1.39652e-07        0.000100776    1.92306    salt2
sn2002hu   0.038     52592.6   0.0671657        0.00397937      2.6177e-05      0.465116        0.0722689      -0.0747918        0.00533448   0.045      -1.31377e-06    -1.17953e-07        0.000222769    3.31993    salt2
sn2002hu   0.038     52592.5   0.133577         0.0105085       0.000216515     0.44848         0.0457781       0.780785         0.254692     0.045      -5.2987e-06      5.33565e-05       -0.00630384     2.08921    exp3
sn2002hu   0.038     52594.2   0.12005          1.23638         0.0729881       0.807109        0.0380716      -9.41312          0.151815     0.045      -1.33008e-06    -0.0110349         -0.000121327    1.67569    exp2lc
06D2ce     0.82      53800.8   1.51542          3.83912e-06     1.57439e-07     2.30212         0.856065       -0.251713         0.197723     0.0204     -4.75096e-08     1.58561e-08       -0.00303586     0.307391   salt2
06D2ce     0.82      53802.5   0.000176612      8.21757e-06     1.37651e-06     0.830732        0.279486       -1.82211          1.58012      0.0204     -3.07235e-07     2.13315e-06       -0.347106       0.382241   exp3
06D2ce     0.82      53801.5   1.4383           9.91288e-06     3.94104e-07     0.567625        0.144938       -0.154079         0.199961     0.0204     -1.03522e-08     4.21908e-08        0.00140923     0.491963   exp2lc
8046.0     0.2593    53683.5   0.772064         3.91183e-05     4.22357e-06     0.702483        0.964254        0.0506149        0.101742     0.0292     -2.75736e-06    -3.80051e-07        0.045541       0.678639   salt2
8046.0     0.2593    53683     9.32218e-05      0.0001287       1.21652e-05     0.77462         0.928962        2.46456          0.955442     0.0292      6.88953e-06     1.07077e-05        0.653975       0.65712    exp3
