name     redshift     t0         t0err              x0              x0err          x1             x1err          x2                 x2err      mwebv         cov_x0x1       cov_x0x2           cov_x1x2     chiquad/dof modelo
8046.0     0.2593    53683     0.000360786      0.000100623     8.66362e-06    -0.809649        0.845841        0.0470732        0.0965877    0.0292     -3.26484e-06    -7.56449e-07        0.0311399      0.918005   exp2lc
06D4cl     1         53933     3.94402          2.29406e-06     1.95224e-06     2.32118         2.88312         1.90517          6.49102      0.0267      3.86294e-06    -1.25792e-05      -13.7024         1.40203    salt2
06D4cl     1         53933.6   7.09301          6.1315e-06      3.44315e-06     1.04872         1.18465        -1.51853          5.78514      0.0267     -3.67406e-06     1.95982e-05       -6.29122        1.43679    exp3
06D4cl     1         53934.4   5.01089          5.89516e-06     7.84919e-06     0.678192        0.64486         2.20867          9.69713      0.0267      3.95437e-06    -7.58978e-05       -4.89436        1.44732    exp2lc
6558.0     0.05742   53675     0.0800183        0.00146559      1.05721e-05     1.05923         0.0576692      -0.0344159        0.00535793   0.0387     -3.42309e-07    -5.18594e-08        0.000162211    7.57976    salt2
6558.0     0.05742   53674.9   1.19675e-05      0.00388621      1.07417e-05     0.354524        0.0316175       0.0477333        0.0473429    0.0387      5.40757e-08    -1.79679e-08        6.26743e-05   10.6701     exp3
6558.0     0.05742   53674.9   1.18043e-05      0.00400242      6.39939e-05     0.334416        0.0331578      -0.0210675        0.011308     0.0387     -5.74983e-07    -7.12764e-07        0.000113159   10.5328     exp2lc
03D4cz     0.695     52894.6   0.501715         4.37693e-06     2.81933e-07    -1.35144         0.586762       -0.140093         0.246259     0.0288     -1.0045e-07     -5.07972e-08        0.0173334      1.51213    salt2
03D4cz     0.695     52895.8   0.542441         1.49708e-05     1.54488e-06    -0.130028        0.140497        2.95234          0.54866      0.0288     -4.42653e-08     8.13866e-07       -0.0116083      1.28953    exp3
03D4cz     0.695     52896.4   0.711553         9.59124e-06     5.0111e-07     -0.0289587       0.217115        0.0462086        0.243705     0.0288     -1.40774e-08    -1.01658e-07        0.000785571    2.26294    exp2lc
7847.0     0.2124    53682.5   0.686456         5.70146e-05     4.51491e-06     1.47173         0.842263        0.142519         0.0687543    0.0265     -2.55855e-06    -2.87949e-07        0.0298377      0.924092   salt2
7847.0     0.2124    53681.6   0.000378207      0.000199159     1.1358e-05     -0.263643        0.706195        2.53153          0.632716     0.0265      5.90192e-06     6.67306e-06        0.333736       1.93484    exp3
7847.0     0.2124    53683     0.690744         0.000153954     9.32221e-06     0.494818        0.792886        0.147865         0.0649608    0.0265     -2.88122e-06    -5.54398e-07        0.0273761      0.938713   exp2lc
04D2an     0.62      53031.3   1.00055          6.63171e-06     1.32677e-06    -0.0204327       0.688728       -0.0342191        0.576656     0.0174      3.56217e-07    -7.5858e-07        -0.168525       0.883117   salt2
04D2an     0.62      53034.5   1.49524          1.64176e-05     2.38241e-06     0.427193        0.230486       -0.788316         1.72137      0.0174     -4.97692e-07     4.00508e-06       -0.350146       1.27456    exp3
04D2an     0.62      53034     0.976642         1.81936e-05     3.51252e-06     0.340016        0.106231       -0.106902         0.566127     0.0174      1.01829e-07    -1.96254e-06       -0.0204799      1.32195    exp2lc
05D4cq     0.701     53587.1   0.683796         6.16079e-06     1.59034e-07     1.06232         0.433085       -0.414626         0.124024     0.0311     -2.55168e-08    -1.19762e-08       -0.00559658     1.11553    salt2
05D4cq     0.701     53586.8   1.00727          1.30495e-05     1.28383e-06     0.600746        0.207852       -1.46555          1.04699      0.0311     -2.12656e-07     1.32241e-06       -0.175239       1.37922    exp3
05D4cq     0.701     53587.8   0.751748         1.59581e-05     3.78308e-07     0.382932        0.105737       -0.360778         0.123567     0.0311     -2.96788e-09    -3.20308e-08       -0.000379223    1.01131    exp2lc
04D3lp     0.983     53142.6   2.38956          2.19483e-06     1.92253e-06    -5.119           1.39944         0.895039         6.58813      0.0122      1.34012e-06    -1.24903e-05       -5.08198        0.646648   salt2
18612.0    0.11493   54383.8   0.152342         0.000252129     2.25369e-06    -0.791352        0.119331        0.0256179        0.00920354   0.0262     -1.18293e-07    -1.31959e-08        0.000241409    2.02525    salt2
18612.0    0.11493   54383.9   0.313873         0.000715257     7.34229e-06    -0.258354        0.0634039       1.4752           0.17961      0.0262      2.20314e-08     6.54363e-07       -0.000362327    1.58995    exp3
18612.0    0.11493   54384.4   0.325052         0.00052728      1.95104e-05    -0.160298        0.0703806       0.219208         0.0297192    0.0262     -1.87386e-07    -5.61886e-07        0.00036677     2.06524    exp2lc
05D3hh     0.766     53479.6   0.720705         3.22794e-06     1.84668e-07     1.30608         0.679047        0.149954         0.123139     0.0092     -1.10131e-07    -7.44053e-09        0.0120758      1.01961    salt2
05D3hh     0.766     53479.1   0.000369985      9.32912e-06     8.86925e-07     0.599293        0.129702        0.705237         0.572637     0.0092     -7.53153e-08     4.87146e-07       -0.0444222      1.5544     exp3
05D3hh     0.766     53480.3   0.715522         8.37582e-06     2.40007e-07     0.641051        0.123441        0.192519         0.124541     0.0092     -8.43741e-09    -1.13219e-08        0.000225014    0.948626   exp2lc
16032.0    0.204     54046.4   0.364295         0.000101379     6.80784e-06    -1.06546         0.625725       -0.227303         0.0608633    0.0655     -2.70497e-06    -3.7592e-07         0.0142163      0.531813   salt2
16032.0    0.204     54047.5   5.99349e-05      0.000170336     1.0863e-05     -3.50798         1.21082        -2.81778          1.09886      0.0655      1.09937e-05     1.14229e-05        1.12495        1.04893    exp3
16032.0    0.204     54047.1   0.367461         0.000240556     1.26341e-05    -2.10953         0.726823       -0.206086         0.0584942    0.0655     -3.07745e-06    -6.91286e-07        0.0179895      0.891628   exp2lc
18835.0    0.12319   54392.4   0.103301         0.000282495     2.42264e-06     0.774612        0.0977234      -0.0212856        0.00876561   0.1164     -1.43937e-07    -1.33367e-08        0.000287381    1.49844    salt2
18835.0    0.12319   54392.7   3.44374e-05      0.000750449     7.10075e-06     0.441059        0.0898145       0.484297         0.141002     0.1164     -4.14533e-09     4.9358e-07         0.000447776    2.51796    exp3
18835.0    0.12319   54392.7   3.83551e-05      0.000698341     2.40378e-05     0.468451        0.0940097       0.0462622        0.0278275    0.1164     -5.5773e-07     -6.49458e-07        0.000651247    2.89608    exp2lc
13506.0    0.243     54000.6   0.663285         3.69643e-05     3.0895e-06     -0.393484        0.69771         0.0632195        0.0798801    0.0317     -9.12834e-07    -2.15958e-07        0.00796613     1.29847    salt2
13506.0    0.243     54001.1   0.843282         0.000110779     6.21174e-06     0.220104        0.191842        1.73812          0.678873     0.0317     -3.28997e-07     3.44914e-06       -0.0375547      1.25432    exp3
13506.0    0.243     54001.8   0.906613         8.85077e-05     6.66459e-06     0.367119        0.209944        0.127936         0.0779952    0.0317     -6.98191e-08    -4.69346e-07        0.000439678    1.33804    exp2lc
14019.0    0.2164    54012.2   0.667143         4.91034e-05     4.84616e-06    -0.732804        0.789009       -0.0366593        0.0880906    0.0886     -1.95658e-06    -3.87859e-07        0.0192697      0.967932   salt2
14019.0    0.2164    54012.7   0.865058         0.000126305     6.81526e-06    -0.177608        0.229171        0.77041          0.757342     0.0886     -3.67994e-07     4.17527e-06       -0.0454772      0.837458   exp3
14019.0    0.2164    54013     0.881318         0.000117874     9.7634e-06     -0.11781         0.234623        0.0264429        0.0823807    0.0886     -4.05997e-08    -7.4281e-07         0.000120025    0.861653   exp2lc
sn1999aa   0.014443  51232.7   0.0249527        0.0231584       7.9245e-05      1.11245         0.0190394      -0.0697907        0.00216386   0.04       -8.46927e-07    -1.60862e-07        2.16329e-05    5.75119    salt2
sn1999aa   0.014443  51233.5   4.1764e-09       0.0579321       0.000238777     0.543795        0.0072475      -0.00149491       0.0400425    0.04       -1.4436e-06      8.22305e-06       -0.000243885    9.70211    exp3
sn1999aa   0.014443  51233.6   0.0433579        0.055049        0.000219263     0.655444        0.00344316      0.0477298        0.00462282   0.04       -1.45071e-07    -8.3792e-07         2.28407e-06   26.0285     exp2lc
16073.0    0.146     54051.1   0.183616         0.000141128     1.72742e-06     1.09219         0.195626        0.0036198        0.011668     0.0205     -2.25028e-07    -1.36814e-08        0.00111546     1.15071    salt2
16073.0    0.146     54050.7   6.79737e-05      0.000375042     1.14796e-05    -0.74277         0.520873        0.599262         0.378221     0.0205      5.43743e-06     3.87079e-06        0.156811       1.5979     exp3
16073.0    0.146     54050.7   2.92907e-05      0.00035447      1.25313e-05    -1.32413         0.383166        0.0147401        0.0351468    0.0205     -1.1174e-06     -4.05093e-07        0.00698767     1.66873    exp2lc
6699.0     0.3106    53674.9   0.833532         3.4358e-05      2.63449e-06    -1.54101         1.05248        -0.112521         0.0985245    0.0547     -1.15548e-06    -2.01606e-07        0.00632203     0.546319   salt2
6699.0     0.3106    53677.3   0.000619327      6.54568e-05     9.94593e-06    -1.50551         1.06799        -2.43536          2.0524       0.0547      6.77089e-06     1.97297e-05        1.48801        0.679761   exp3
6699.0     0.3106    53676.8   0.92837          8.48027e-05     6.02324e-06    -0.812168        0.644393       -0.131087         0.105119     0.0547     -4.90186e-07    -5.19012e-07        0.0082358      0.688455   exp2lc
04D1jd     0.778     53248.9   1.73149          3.15472e-06     1.02369e-07     4.13238         0.893972        0.30421          0.125365     0.031      -5.16804e-08     4.29788e-11        0.00835888     1.88552    salt2
04D1jd     0.778     53259.5   1.04813          9.41326e-06     8.24273e-07     0.30909         0.137059        1.40379          0.587223     0.031      -7.26755e-08     4.69417e-07       -0.0530475      2.32559    exp3
04D1jd     0.778     53257.3   0.000259351      7.76962e-06     1.55365e-07     0.445581        0.113503        0.361146         0.125659     0.031      -3.55821e-09    -1.20752e-10       -0.00147362     3.38229    exp2lc
6057.0     0.06707   53663.6   0.0766995        0.000634113     4.99313e-06    -0.485954        0.0765871       0.0929946        0.00621501   0.1169     -2.14116e-07    -2.54591e-08        0.000188722    2.11512    salt2
6057.0     0.06707   53663.3   0.160911         0.00191444      1.14619e-05     0.0141448       0.0351368       1.13653          0.073491     0.1169      1.0466e-07      2.17153e-08       -0.000142281    5.67021    exp3
6057.0     0.06707   53663.9   0.157592         0.00133229      3.26315e-05     0.0929033       0.03622         0.263434         0.0176004    0.1169     -8.31863e-08    -5.55406e-07        9.36549e-05    6.16118    exp2lc
sn2006gr   0.034597  54013.4   0.0520982        0.00297857      1.61496e-05     0.988532        0.0556691       0.045637         0.00419513   0.085      -5.13166e-07    -5.73469e-08        8.19388e-05    2.60991    salt2
sn2006gr   0.034597  54013.5   0.102938         0.00901524      5.79149e-05     0.392928        0.0188911       1.10107          0.115134     0.085      -8.28999e-07     5.89909e-06       -0.00174539     1.49774    exp3
sn2006gr   0.034597  54014.1   0.078508         0.00772938      8.69252e-05     0.528971        0.0121202       0.0973015        0.0104662    0.085       2.63293e-08    -8.77e-07          -9.36983e-06    1.32538    exp2lc
sn2002jy   0.021     52635.1   0.134307         0.00907453      6.9068e-05      0.597088        0.0562489      -0.0382079        0.00471051   0.053      -4.74166e-07    -2.56867e-07        3.78955e-05    6.03238    salt2
sn2002jy   0.021     52634     0.360106         0.0229276       0.000780565     0.601008        0.0661706      -1.11114          0.632591     0.053      -3.34794e-05     0.000463932       -0.0331329      1.81034    exp3
sn2002jy   0.021     52634.1   0.306464         0.0242625       0.00152394      0.507802        0.0356278       0.000629961      0.0766994    0.053       1.94962e-05    -0.000115405       -0.00088064     2.96418    exp2lc
sn2003w    0.020071  52680.6   0.0378864        0.00800029      4.57228e-05     0.241021        0.0459275       0.0895019        0.00399304   0.048      -1.16098e-06    -1.51676e-07        4.32252e-05   13.106      salt2
sn2003w    0.020071  52680.6   0.142661         0.026034        0.000585445     0.047291        0.0335318       1.70658          0.279763     0.048      -1.43964e-05     0.00016054        -0.00661368    10.8754     exp3
sn2003w    0.020071  52681.1   0.0856365        0.00685083      0.000443464     0.028935        0.0287556       1.38697          0.0699475    0.048       2.98764e-06    -3.09471e-05       -0.000509131   13.425      exp2lc
04D1hy     0.85      53263.7   0.659404         3.47777e-06     9.02265e-08     1.58587         0.387247       -0.034694         0.102609     0.027      -1.67364e-08     6.53575e-09       -0.00200129     1.15478    salt2
04D1hy     0.85      53264.6   0.715777         8.2791e-06      6.87076e-07     0.692148        0.146422       -0.63484          0.651571     0.027      -6.52194e-08     4.40554e-07       -0.0602527      1.17437    exp3
04D1hy     0.85      53265     0.595739         9.03946e-06     2.12283e-07     0.604172        0.104434        0.0282808        0.104179     0.027      -3.34274e-09     1.73329e-08       -0.00020783     1.21577    exp2lc
sn2006et   0.022172  53994.5   0.143172         0.00738534      8.69849e-05     0.758947        0.0765949       0.142237         0.00816279   0.019      -2.70454e-06    -6.26614e-07        0.000247595    2.48356    salt2
sn2006et   0.022172  53994.3   0.190928         0.0232856       0.000214819     0.505642        0.0304833       0.413192         0.108687     0.019      -1.88445e-06     1.0645e-05        -0.00134853     0.878987   exp3
sn2006et   0.022172  53994.5   0.199065         0.0212491       0.000493361     0.540158        0.029025        0.0697085        0.0200427    0.019       1.23492e-06    -9.23979e-06       -7.56968e-05    1.01202    exp2lc
03D1fq     0.8       53000     0.757772         2.89093e-06     1.07984e-07    -1.36163         0.474965       -0.223447         0.277215     0.0261     -2.80984e-08     1.57453e-08        0.0117941      1.20481    salt2
03D1fq     0.8       53000.2   0.864979         8.76604e-06     2.34634e-06    -0.796319        1.35139         1.3761           1.73224      0.0261      2.86722e-06     4.04533e-06        2.17229        1.73817    exp3
03D1fq     0.8       53000.1   0.821054         7.13702e-06     2.38342e-07    -1.86876         0.644488       -0.206621         0.281759     0.0261     -5.08753e-08     4.21373e-08        0.0267903      1.70735    exp2lc
15203.0    0.216     54027.4   0.611265         9.04589e-05     4.42113e-06     1.36773         0.437758       -0.0181667        0.0458957    0.0354     -7.22651e-07    -1.82697e-07        0.00306391     1.18836    salt2
15203.0    0.216     54027.5   0.724226         0.000245407     7.93347e-06     0.834434        0.181922        0.216513         0.502549     0.0354     -2.47016e-08     3.28917e-06       -0.00181816     1.5282     exp3
15203.0    0.216     54027.6   0.693056         0.00023823      1.0615e-05      0.841866        0.185452        0.0197736        0.0439334    0.0354     -1.18028e-07    -4.25158e-07        0.000550788    1.52731    exp2lc
sn1996c    0.02959   50129     0.232319         0.00412057      5.15823e-05     0.524441        0.0828952       0.0333067        0.00646204   0.014       1.63712e-07    -2.48037e-07        0.000109221    1.82719    salt2
sn1996c    0.02959   50136.8   0.215816         0.0077211       0.000153834     0.483741        0.030563        1.6491           0.145578     0.014      -4.37801e-06     2.08569e-05       -0.00432603   102.648      exp3
sn1996c    0.02959   50130.7   0.173937         0.00892317      0.000110144     0.517392        0.00843052      0.185325         0.0146733    0.014      -8.06237e-08    -8.11148e-07        1.95756e-05   12.1001     exp2lc
04D2ja     0.74      53122.7   0.000160478      8.77619e-06     3.06781e-06    -1.46781         1.75249        -1.69351          3.35745      0.0204      4.89968e-06     1.02518e-05        5.50234        3.97108    exp3
04D2ja     0.74      53122.7   0.000158076      1.05611e-05     3.82216e-07    -0.7189          0.528503        0.243169         0.356297     0.0204     -8.30419e-08    -5.00561e-08       -0.0489935      3.95778    exp2lc
sn1997do   0.01012   50766.7   0.0655375        0.0309077       0.000330553     0.74687         0.0660629       0.0771174        0.00746209   0.063      -1.44899e-05    -2.34946e-06        0.000283109    8.22998    salt2
sn1997do   0.01012   50766.5   0.0806667        0.0964983       0.00106732      0.465686        0.0201999       1.39877          0.132411     0.063      -1.90427e-05     0.000131638       -0.0025201      5.70512    exp3
sn1997do   0.01012   50766.9   0.0811988        0.0729899       0.00162106      0.670649        0.00715718      0.195022         0.0240978    0.063       6.26678e-07    -3.83837e-05       -1.26311e-05    8.22953    exp2lc
sn2006al   0.06785   53787.4   0.474491         0.000789058     2.51168e-05    -1.34639         0.192881       -0.111322         0.0160712    0.026       1.40913e-06    -3.28798e-07       -0.0001628      1.59227    salt2
sn2006al   0.06785   53785.7   0.484908         0.00194716      4.40271e-05     0.0997539       0.0562451       0.231922         0.147591     0.026       7.99952e-07    -1.382e-07         -0.00196461     5.18095    exp3
sn2006al   0.06785   53785.5   0.524709         0.00201896      8.0013e-05      0.120964        0.0547596      -0.0304283        0.0257298    0.026       1.07803e-06    -1.62229e-06       -3.92463e-05    5.22761    exp2lc
06D2gb     0.442     53872.4   0.266987         1.15058e-05     3.11203e-07    -1.65588         0.249344       -0.0174362        0.0304116    0.0183     -5.84911e-08    -7.15498e-09        0.00312935     0.423002   salt2
06D2gb     0.442     53872.7   1.32617e-05      2.35213e-05     1.13375e-06    -5.30184         0.651554       -1.35445          0.542064     0.0183      6.66796e-07     5.97517e-07        0.328266       0.884444   exp3
06D2gb     0.442     53872.7   1.38982e-05      2.75749e-05     4.59858e-07    -3.92789         0.217081       -0.076104         0.0275682    0.0183     -1.87567e-08    -9.33929e-09        0.00140209     0.960804   exp2lc
04D3mk     0.813     53180.3   0.452317         3.49758e-06     8.22455e-08    -0.458289        0.370777        0.0558532        0.112091     0.0088     -1.67518e-08     1.99898e-09        0.00399809     0.816705   salt2
04D3mk     0.813     53181.5   0.488434         1.11826e-05     8.57383e-07    -0.0948097       0.23145         1.7604           0.430782     0.0088      6.46192e-08     3.574e-07          0.0401332      0.81711    exp3
04D3mk     0.813     53181.2   0.550464         8.62785e-06     1.74391e-07    -0.419573        0.280511        0.143475         0.113177     0.0088     -1.06876e-08     5.79699e-09        0.00327486     1.57954    exp2lc
14984.0    0.184     54025.4   0.683909         7.90854e-05     5.27838e-06     0.649037        0.529549        0.0825777        0.0598935    0.0926     -9.34746e-07    -2.96439e-07        0.0059574      1.22399    salt2
14984.0    0.184     54025.1   0.811296         0.000247625     8.17446e-06     0.363152        0.201161        1.46142          0.551665     0.0926      3.49038e-08     3.47707e-06       -0.00579392     1.15103    exp3
14984.0    0.184     54025.8   0.788976         0.000203078     1.21687e-05     0.441867        0.225596        0.130431         0.0550422    0.0926     -1.99662e-07    -6.2582e-07         0.00157591     1.18884    exp2lc
2372.0     0.1805    53636.8   0.3042           0.000104318     4.8024e-06      0.290058        0.232391        0.0502618        0.0412213    0.0302     -1.74743e-07    -1.8493e-07        -0.000327263    1.20635    salt2
2372.0     0.1805    53637.5   0.508265         0.000305868     7.01505e-06     0.160446        0.0795473       1.10462          0.414479     0.0302     -2.18537e-07     2.28572e-06       -0.0125588      1.17006    exp3
2372.0     0.1805    53638.2   0.000124418      0.000261767     1.12812e-05     0.244277        0.0738995       0.102431         0.0381663    0.0302     -3.15811e-08    -4.0678e-07        -8.01664e-05    1.16192    exp2lc
04D2mh     0.59      53375.5   1.13274          8.23963e-06     3.01346e-07     1.31308         0.420664        0.0151482        0.0541892    0.0202      3.17632e-08    -1.42926e-08       -0.00526407     1.6473     salt2
04D2mh     0.59      53374.4   8.00355e-10      2.58177e-05     6.7322e-07      0.498198        0.0690485       1.74839          0.235971     0.0202     -1.09146e-08     1.39506e-07       -0.00338993     5.93007    exp3
04D2mh     0.59      53374.4   0.000126618      2.12905e-05     6.21047e-07     0.604106        0.0760465       0.0531003        0.0494681    0.0202     -7.67833e-09    -2.79959e-08        0.000264542    9.46712    exp2lc
04D4ju     0.472     53293.2   0.294037         5.52098e-06     6.69074e-08     0.401053        0.227401        0.182311         0.0251455    0.0272     -7.01521e-09    -4.75167e-10       -0.000869588    1.03367    salt2
04D4ju     0.472     53293.8   0.327386         1.80751e-05     5.15432e-07     0.347972        0.0981142       1.77409          0.189553     0.0272      4.06288e-09     9.14479e-08        0.00289706     2.20188    exp3
04D4ju     0.472     53293.8   0.348073         1.40119e-05     1.52144e-07     0.229435        0.126775        0.230353         0.0247275    0.0272     -2.75527e-09    -1.47041e-09       -2.19961e-05    1.11299    exp2lc
03D4di     0.899     52901.4   0.718501         3.4744e-06      1.89792e-07     1.31144         0.481376        0.025094         0.169803     0.0262     -4.01486e-08     2.57627e-08       -0.00187936     1.61308    salt2
sn2000ca   0.023616  51666.1   0.0848151        0.0106673       6.04135e-05     0.687674        0.0369746      -0.117842         0.00330285   0.067      -3.72158e-07    -1.59391e-07        3.80949e-05    8.00086    salt2
sn2000ca   0.023616  51665.5   0.223687         0.0229493       0.000230861     0.769015        0.0287419      -1.5406           0.159411     0.067      -4.48612e-06     2.57495e-05       -0.0044639     18.0887     exp3
sn2000ca   0.023616  51667.1   0.101988         0.0253676       0.00017658      0.491324        0.00621584     -0.0351477        0.00889929   0.067      -6.41029e-08    -7.69415e-07        6.19478e-06   24.0118     exp2lc
sn1998ab   0.027132  50914.5   0.0516354        0.00652823      6.77662e-05    -0.355235        0.0655551       0.111086         0.00670386   0.017      -3.12491e-06    -4.16788e-07        0.000275712   17.6067     salt2
sn1998ab   0.027132  50915     0.0865677        0.0182475       0.000196334     0.379467        0.0200305       1.23192          0.0703625    0.017      -1.28327e-06     1.12753e-05       -0.000384518    7.31233    exp3
sn1998ab   0.027132  50915     0.0942082        0.0150226       0.000131405     0.330265        0.0318134       0.141374         0.0123452    0.017      -1.24788e-06    -1.1108e-06         8.03159e-05    6.43363    exp2lc
22075.0    0.12996   54426.2   0.382675         0.000192309     4.01422e-06    -1.47485         0.434426       -0.0218044        0.0229979    0.0269     -6.94287e-09    -3.86533e-08        0.00577765     1.46144    salt2
22075.0    0.12996   54426.2   0.505088         0.000303044     6.13561e-05   -10.5416          4.52967        -5.56609          3.41063      0.0269      0.00027468      0.000203414       14.7842         1.29418    exp3
22075.0    0.12996   54425.3   0.565861         0.000516112     3.87036e-05    -6.76873         1.62117        -0.24018          0.0886472    0.0269     -1.20946e-05    -2.58423e-06        0.108141       0.979281   exp2lc
05D2cb     0.427     53423.1   0.190575         8.06948e-06     1.77682e-07     0.77466         0.213633        0.136993         0.0212798    0.0197     -2.75049e-08    -2.27763e-09        0.000956908    1.55822    salt2
05D2cb     0.427     53422.7   5.98837e-05      2.76035e-05     5.93002e-07     0.0508333       0.0424165       2.04349          0.12053      0.0197     -1.04272e-08     6.39309e-08       -0.00153359     3.23551    exp3
05D2cb     0.427     53422.7   7.04856e-05      1.89971e-05     2.39023e-07     0.332435        0.0561086       0.221583         0.0190953    0.0197     -4.14372e-09    -2.93442e-09        7.52386e-05    4.77733    exp2lc
04D1sa     0.585     53359.9   0.456077         7.89654e-06     4.58862e-07    -0.52689         0.552937       -0.409858         0.124561     0.0252     -8.5019e-08     -4.90669e-08       -0.00349918     1.19017    salt2
04D1sa     0.585     53360.5   0.544724         8.23744e-06     3.3854e-06     -7.48211         5.55698       -11.3241           9.12724      0.0252      1.79915e-05     3.08611e-05       48.8925         1.09384    exp3
04D1sa     0.585     53360.6   0.539194         1.94317e-05     1.076e-06      -1.19042         0.697759       -0.334727         0.121705     0.0252     -2.28128e-07    -1.20442e-07        0.00984165     0.812788   exp2lc
14284.0    0.18107   54015.2   0.282081         0.000128825     6.47093e-06    -0.113468        0.359499        0.0414449        0.0410365    0.0557     -1.17066e-06    -2.47849e-07        0.00435461     1.52274    salt2
14284.0    0.18107   54014.8   0.402255         0.000367471     7.3652e-06      0.311285        0.101081        1.0738           0.336338     0.0557     -2.25783e-07     1.83775e-06       -0.00989454     1.84915    exp3
14284.0    0.18107   54015.4   0.363466         0.000313116     1.28911e-05     0.427549        0.103022        0.106331         0.036503     0.0557     -1.52514e-07    -4.44967e-07        0.000296959    1.88041    exp2lc
14331.0    0.214     54013.3   0.582355         5.145e-05       3.96327e-06     0.076159        0.597597        0.131244         0.0683362    0.0221     -1.27039e-06    -2.41558e-07        0.0100093      1.70953    salt2
14331.0    0.214     54013.3   0.694874         0.000158611     7.41446e-06     0.221793        0.16595         1.00605          0.601549     0.0221     -6.27145e-07     3.78167e-06       -0.0478749      0.984669   exp3
14331.0    0.214     54013.5   0.748651         0.000132259     8.35679e-06     0.348841        0.157624        0.134957         0.0656331    0.0221     -7.65742e-08    -5.04921e-07       -0.000236789    0.930982   exp2lc
05D3lb     0.647     53528.4   0.409643         4.76535e-06     1.37926e-07     0.634911        0.293932        0.109692         0.0725126    0.0109     -1.73437e-08    -8.17166e-09        0.00103556     0.70776    salt2
05D3lb     0.647     53529.2   0.482596         1.34141e-05     7.55569e-07     0.169723        0.146632        0.414712         0.501634     0.0109      4.98761e-09     3.69243e-07        0.00731501     0.838654   exp3
05D3lb     0.647     53529     0.479777         1.22877e-05     3.191e-07       0.182249        0.155242        0.141736         0.0719001    0.0109     -8.86152e-09    -2.00094e-08        0.00100424     0.661327   exp2lc
4679.0     0.3324    53653.9   0.854581         2.83294e-05     2.99773e-06     1.09148         0.929473       -0.0291482        0.10737      0.0295     -1.98549e-06    -2.35117e-07        0.0236862      1.02046    salt2
4679.0     0.3324    53654.6   0.994271         7.76476e-05     6.3393e-06      0.767942        0.321662        0.887201         0.720767     0.0295     -5.80716e-07     3.78811e-06       -0.0226196      0.975967   exp3
