06D4dh     0.303     53958.6  0.15818      9.42182e-05  6.35798e-07    -0.0172105      0.0206391     -1.09979         0.0315243   0.0262    5.74283e-09   6.93844e-09       0.000494493   34.8138     exp3
sn2001ep   0.013012  52201.8  0.162037     0.0410459    0.000729195    -1.38169        0.116604      -1.78548         0.149788    0.047     8.01532e-05   0.00010693        0.0164057      6.89482    exp3
6108.0     0.2595    53673.3  7.35292e-05  0.000139101  1.06161e-05     0.700459       0.343918       1.28312         0.634471    0.0771    2.3473e-06    4.58461e-06       0.00366319     0.975086   exp3
05D3ht     0.901     53488.7  3.05346      1.16644e-05  2.51973e-06     1.51382        0.634597       1.534           0.880375    0.0104    1.4703e-06    2.04274e-06       0.522974       2.22253    exp3
sn1993b    0.069     49004    1.23822      0.00212707   0.000232874     0.602651       0.35923        0.167755        0.593489    0.079     7.98304e-05   0.000129021       0.208562       1.56938    exp3
sn2006ej   0.020267  53975.5  0.134959     0.0203152    0.00013391      0.210529       0.0256091     -0.110846        0.0407689   0.035     1.70081e-06   2.40424e-06       0.000937987  138.7        exp3
18415.0    0.13097   54380.5  0.658513     0.000473918  1.3404e-05      0.0198386      0.109046       0.039875        0.173541    0.0744    1.01646e-06   1.05844e-06       0.0128978      4.03069    exp3
sn1990af   0.0503    48195.6  0.280919     0.00275284   0.000182216    -2.03072        0.283943       0.0606499       0.788974    0.035     4.61564e-05   0.000134037       0.154792       0.869044   exp3
04D3lu     0.822     53167.8  1.12903      5.83859e-06  1.60495e-06    -1.18416        1.2697        -2.71097         2.0567      0.01      2.01968e-06   3.27849e-06       2.5885         0.991284   exp3
15583.0    0.178     54039.8  3.26459e-05  0.000239763  6.4454e-06     -0.0695472      0.328431       0.92378         0.413946    0.0223    1.10997e-06  -3.93098e-08      -0.0962706      2.19883    exp3
15132.0    0.1543    54026.7  0.384997     0.000487709  9.75945e-06    -0.0419054      0.10124       -1.00046         0.188281    0.047     6.68232e-07   1.4184e-06        0.00818253     1.49704    exp3
sn2001v    0.015018  51974.6  7.4007e-06   0.0692444    0.000758119     0.430909       0.0488356     -0.286227        0.0979922   0.02      3.04976e-05   6.77397e-05       0.00405588     2.91326    exp3
sn2005na   0.026322  53740.6  0.0324344    0.0164023    3.1241e-05      0.0119194      0.00789144    -0.841707        0.010346    0.078     1.44507e-07   1.81575e-07       7.73484e-05  134.554      exp3
05D1cc     0.564     53606.6  1.07344      1.84578e-05  1.51567e-06     0.235006       0.301883      -0.303488        0.449369    0.0284    4.43409e-07   6.47007e-07       0.13272        1.3222     exp3
17884.0    0.239     54368.3  4.02744e-05  0.00019077   6.52091e-06     0.364083       0.17384       -0.334057        0.281502    0.0225    7.05515e-07   1.40179e-06       0.0392457      1.7985     exp3
04D1dc     0.211     53229.5  0.0926912    0.00017074   5.93834e-07     0.214032       0.0146817     -0.279188        0.0252875   0.025     6.20763e-09   9.52762e-09       0.000301144  191.362      exp3
04D3gx     0.91      53128.7  4.51467      2.85365e-06  2.57849e-06    -3.26902        6.61077       -6.47277        10.5318      0.0117    1.68475e-05   2.69709e-05      69.13           0.913672   exp3
13044.0    0.121     54002.3  1.62439e-05  0.000613102  6.91065e-06     0.328922       0.0515397     -0.265888        0.088888    0.0471    1.80453e-07   4.0549e-07        0.00223456     7.33185    exp3
19632.0    0.308     54395.9  5.29167e-05  8.62759e-05  6.50257e-06     0.240659       0.483347       0.417883        0.664842    0.0295    1.38668e-06   3.24429e-06       0.0157687      1.09107    exp3
2635.0     0.1437    53640.9  0.506251     0.00051304   8.2258e-06     -0.0296043      0.0834182     -0.749061        0.120742    0.0974    4.59145e-07   6.39468e-07       0.00531329     1.00184    exp3
19174.0    0.1647    54394.6  0.550848     0.000288667  7.63532e-06    -0.130852       0.310443       0.820293        0.314989    0.036     1.24491e-06   1.8603e-07       -0.0496769      2.85433    exp3
