SNNAME SURVEY Z ZERR T0 T0ERR X0 X0ERR X1 X1ERR X2/C X2/CERR COV_X0_X1 COV_X0_X2/C COV_X1_X2/C CHISQ/NDOF MODEL mB mBERR COV_mB_X1 COV_mB_X2/C
6 PS1MD 0.2305 0.0 55204.11134266361 0.7794073834120354 4.595414162972394e-08 8.993058167185322e-09 -0.15487844645311888 0.16538722078879917 0.1664490911519325 0.04350741551903779 -1.4299796347331774e-09 -5.0842956398133205e-11 -0.0009350327674621637 2.0718748639752373 SALT2_CORTADO 28.97918835400919 0.21247462137979112 0.033785434923506004 0.001201241858964167
6 PS1MD 0.2305 0.0 55202.60413580072 0.000259781885688426 128742.97791746348 3216.7448133088974 -1.0895121744822593 0.44636515925039083 2.3741512295925813 0.3117596914522686 1067.358238740547 627.82839856705 0.08140739054339172 3.343398819814908 EXP_ANTERIOR -2.139308876130359 0.027127975146857716 -0.009001418966636216 -0.0052947044858366555
6 PS1MD 0.2305 0.0 55204.32192381957 0.8506151246147056 114449.00945917773 7034.818578764088 -1.141179700899258 0.7416202256654301 1.63133090869819 0.7194006817833108 4982.5511499238255 -4249.295044474182 -0.4936941786079504 2.2120194278036966 EXP_ATUAL -2.011530095665881 0.06673677003376464 -0.04726765396306135 0.0403115194817875
11 PS1MD 0.3812 0.0 55210.044872558086 0.7556540911355114 1.1258386389976784e-08 2.6967471999979967e-09 -0.14134455751170952 0.20567571146715785 0.1509138849944772 0.04056051634512533 -5.47239798913644e-10 -7.700910574610381e-12 -0.0005873322311617428 1.482438481144187 SALT2_CORTADO 30.506309625875637 0.26006889164193764 0.05277470871794506 0.0007426603716410966
11 PS1MD 0.3812 0.0 55209.85394704139 0.7039272179936233 33634.38264401918 1107.206948850939 -0.04163052926815691 0.22952927955959995 2.284619349036339 0.3463686865971833 57.60754387539079 299.9083766774783 0.004282433559403178 1.3055155509415044 EXP_ANTERIOR -0.6819586516423808 0.035741243811442724 -0.001859602916298099 -0.009681205869461036
11 PS1MD 0.3812 0.0 55208.68239609041 0.9739660831364745 32256.51778584759 1989.7676810682701 0.4289283022484649 0.24934159330054978 0.7868751170885318 0.37223470685716553 427.1281529842727 548.3805650553576 0.04488910563601637 1.8574731846427068 EXP_ATUAL -0.6365437045931532 0.0669744584563092 -0.014376892845202332 -0.01845818068209304
34 PS1MD 0.2534 0.0 55207.74326194708 0.3012797118317394 7.378078618836079e-08 8.273995879235651e-09 0.054629747103248555 0.11826931208346605 -0.13158790730657452 0.01742507548449374 -9.629322616759534e-10 -1.1671814764797131e-11 -0.0001668400724960297 0.9782831615530518 SALT2_CORTADO 28.46514180339625 0.12175767361940747 0.014170226060780876 0.0001717589703234943
34 PS1MD 0.2534 0.0 55208.175332833074 0.3814938624818751 172101.30158935703 9267.024911712277 -0.18482997191073036 0.8784157814457975 -1.0176714524379424 0.6038799544339303 7876.127045326662 5360.98512496913 0.4784775829801752 1.1724828368443512 EXP_ANTERIOR -2.454460387192201 0.058462919014110167 -0.04968815579785633 -0.03382086939259223
34 PS1MD 0.2534 0.0 55208.73855140773 0.4235750195766741 151098.5499350203 6230.363516397121 -0.39994433019224984 0.3808236704221093 -2.1662813154576366 0.4746775456305704 1921.5369998788894 974.4857459418287 -0.045100059935140074 1.9153048384732283 EXP_ATUAL -2.313150741286993 0.044769001697670834 -0.013807427605678747 -0.007002280669435822
91 PS1MD 0.1526 0.0 55209.61926801751 0.00018196562450611964 1.0741293683416922e-07 5.991752154749535e-09 -0.17295675014874412 0.046223133129756774 0.13366934087124493 0.011819229484251455 -2.635343205409349e-10 -1.0249254268968666e-11 -8.585649534098698e-05 27.980279709003142 SALT2_CORTADO 28.05735852244453 0.06056497881994087 0.0026638202198062083 0.00010360005749373724
91 PS1MD 0.1526 0.0 55210.41265250971 0.12664666882847087 293039.9294857652 1257.2560985895846 -0.9569770068402184 0.04290570645587406 1.1906916162940715 0.07998506666211266 4.2004390777898735 -0.2091514313857859 0.0003696445097877173 12.902151341687293 EXP_ANTERIOR -3.032317002880415 0.004658233665586441 -1.5562960278622544e-05 7.749226589394344e-07
91 PS1MD 0.1526 0.0 55209.6207290143 4.5662527554668486e-05 279509.3517472403 1330.7362134956868 -0.354627722535473 0.029625246734930832 0.7102170516604455 0.04610118343647053 14.403669099908194 16.735607668444654 3.244943074849878e-05 22.423023976105203 EXP_ATUAL -2.9809908574280115 0.005169159732736121 -5.595013163376447e-05 -6.500839789678899e-05
142 PS1MD 0.4365 0.0 55214.091291443816 0.002083125349599868 1.1673759373243118e-08 3.331384444824756e-09 -0.015701674686858316 0.28089290152996504 -0.026446307376994226 0.04507838818333491 -9.325708077271371e-10 -3.349019121579024e-12 -0.00028238104396848023 0.90313143067831 SALT2_CORTADO 30.46697315720096 0.30984060815958464 0.08673520303756208 0.00031148074878602244
142 PS1MD 0.4365 0.0 55214.73037540534 0.6011655374641123 32649.823384143103 1786.7806259166698 0.3694473621034003 0.19471109457799862 1.1368797990651942 0.4429129383603553 -6.954833060950138 735.9086713160034 0.003326415966367333 1.1121721422309696 EXP_ANTERIOR -0.6497020908654392 0.05941754700150379 0.0002312758008972779 -0.02447188391932569
142 PS1MD 0.4365 0.0 55214.089699553806 0.0008321592904394493 26004.319352896186 1792.2984148932517 -0.17310281646203882 0.30952579046834783 -1.1215931751859542 0.45550959271140407 492.123229318445 760.6823781170946 0.11494599346927899 1.261022605294632 EXP_ATUAL -0.4026137271700456 0.07483230967794903 -0.020547202179087783 -0.03176012365619789
190 PS1MD 0.1023 0.0 55224.26893654375 0.041392621729755774 3.0192465486493106e-07 1.1578563702500654e-08 0.005978559321506928 0.03857845456701671 0.002624252345573337 0.004339063768040104 -4.423229667320758e-10 -2.949050291216758e-12 -9.82584100109681e-06 2.096784678973801 SALT2_CORTADO 26.93525355369102 0.04163709590568937 0.0015906155772269846 1.0604932784501938e-05
190 PS1MD 0.1023 0.0 55224.52262806548 9.621544450055808e-06 804184.5849898672 2480.3630592593 0.21539707137086778 0.026481493045335095 0.7416364493792612 0.03128680768936394 1.2064727007321967 31.142205868474104 0.00018247626904877194 15.320264623041627 EXP_ANTERIOR -4.12838936018507 0.003348758512221903 -1.6288686897098022e-06 -4.204534759623559e-05
190 PS1MD 0.1023 0.0 55224.418179279826 5.738591426052153e-06 748999.6385666981 2316.8619877827073 0.36136900414731205 0.01711754277461716 -0.2832969233857754 0.019093891376808673 8.35744803109214 15.555833311787783 0.00012372266451006952 23.122567821389204 EXP_ATUAL -4.051204020321675 0.0033584808483716894 -1.2114804119405793e-05 -2.2549452031927183e-05
199 PS1MD 0.3712 0.0 55214.44430394066 0.23646698404263589 2.9481230261131753e-08 2.7749697522871063e-09 0.00975524496188975 0.09504488799407465 -0.11083337138562421 0.014543201903444323 -2.6182872863023693e-10 -1.9271445525748864e-12 -6.600596534803754e-05 1.4644444931035359 SALT2_CORTADO 29.461135992969325 0.102196723151646 0.009642641355250099 7.097297480463549e-05
199 PS1MD 0.3712 0.0 55215.48073816648 0.299232494970056 68267.03867677411 1237.575394364545 0.4449705957114864 0.13418909135237794 -0.8024243191328758 0.22305762496180312 54.451163289428806 254.24296393470334 0.00845608750382478 1.2791844884330117 EXP_ANTERIOR -1.4505276605190414 0.01968271127361139 -0.0008660050372837302 -0.004043544235980427
199 PS1MD 0.3712 0.0 55215.568957838645 6.270751691772602e-05 63872.758348003365 1440.7294427148483 -0.10533984030678825 0.11612546181832335 -1.5042326113377344 0.19464944480947566 128.7691691544934 227.5165092403422 0.008641633205199024 1.557285539982986 EXP_ATUAL -1.3782891789752902 0.024490129402175917 -0.0021888728876545793 -0.0038674220066800807
215 PS1MD 0.4661 0.0 55222.94463202544 0.33180010718569974 1.5887310156749993e-08 2.828024367073149e-09 0.012108397520251238 0.18016059256871964 -0.13025385965835617 0.028123846988057317 -5.064905096197597e-10 -2.742622158887564e-12 -0.00017472039160177933 0.9257559991259566 SALT2_CORTADO 30.132374064874305 0.19326672753127835 0.034613479452148044 0.00018743035444618533
