,M,a,b,om_m,om_l,h
0,-19.84832497082464,0.15301289158167644,-0.9932309127846616,0.15235607212277943,0.42205544053184973,0.6604624708842928
1,-19.90714633395083,0.1425039588026553,-0.999415348215433,0.10979889182677696,0.36267123180466704,0.6392552019442863
2,-20.160590949419007,0.15438761064689174,-0.9877518051674953,0.2582119352222635,0.6222949355507592,0.5757686363146354
3,-20.062465939223152,0.44400272396533685,-0.9884328053620267,0.38003988516690274,0.6337141642307278,0.6620755060607404
4,-20.206921946684727,0.15397163911390815,-0.9957001436051697,0.3065898995421744,0.652613656305505,0.5628614867171303
5,-20.252187860385327,0.43185477599154354,-0.9628484419461814,0.40690531592652,0.717869352337769,0.595149174507496
6,-20.224493298143674,0.1465053881347088,-0.9991290821634057,0.24557155811234724,0.6286084701753037,0.5584061132049988
7,-20.159457014788476,0.1506697143069466,-0.9929222538544626,0.23236425025552107,0.6122370976411483,0.5755023826439708
8,-20.02991827229801,0.9874822166617775,-0.9977912844326406,0.7177970248214702,0.8124297680205173,0.7902779858925795
9,-20.137916594814854,0.15727060035172477,-0.993242698897688,0.2798418881651289,0.5959904930518607,0.578074259345986
10,-20.1997130002492,0.16091774395229758,-0.9939443778376805,0.29266251593751547,0.6416616205194019,0.5650021742706499
11,-20.126921997110703,0.15578113338043323,-0.9915776672864182,0.2953589597818905,0.6146536103510165,0.5821212062387233
12,-20.174473112690436,0.16316411322863208,-0.9847780777116019,0.31817989994033274,0.624837948566052,0.5691156575769768
13,-20.090710886415856,0.15856141554154773,-0.9969734265500438,0.2769596041782168,0.5388013931631148,0.587835230835027
14,-20.159454896149345,0.16274385621368168,-0.9900214553439667,0.276372854597703,0.6041931556082867,0.5742692490311744
15,-20.04628402227271,0.15146918736718454,-0.9867963650443358,0.2089978125927248,0.5300814376374697,0.6022351460127392
16,-19.961086447564824,0.1442788428566725,-0.9936244917227834,0.20379740568880125,0.4322513920853376,0.6260710703337276
17,-19.997636170792003,0.9836565653259209,-0.978355798122265,0.6689553212251675,0.7816055228098466,0.8076283751371743
18,-20.05449515820142,0.15655417399883875,-0.9989283671894195,0.27505079231841206,0.5316222826168905,0.6018437783688966
19,-20.043207992899692,0.15792893139734662,-0.9949060616701126,0.23503588370070128,0.5344311332506814,0.6032244321631673
20,-20.160453301550476,0.16264947092444174,-0.975119164797781,0.2935791354077561,0.6228753895011185,0.5708477982603167
21,-20.093877071418994,0.1558369776776213,-0.9944851486249172,0.22187926133379482,0.564290577284303,0.5907433026692271
22,-20.02429329052155,0.9936671055688931,-0.9082161405005187,0.5902985498316421,0.7667880766324766,0.8005327345705223
23,-20.04530021444977,0.9908147222780941,-0.9674869267349488,0.673175327622282,0.8143681214314904,0.7885886321971062
24,-20.070657625621262,0.15668920851234114,-0.986726923478958,0.2608301703204828,0.5657843939774733,0.5976798787712143
25,-20.040447565242637,0.155335918389065,-0.995148195161465,0.2285940222290769,0.5343674835285495,0.6048174526622522
