,M,a,b,om_m,om_l,h
0,-21.906551620587543,0.16229272881388013,3.1784874155418943,0.2887947175356396,0.7297458229387708,0.2567313101058695
1,-21.83465682158308,0.16827683712274333,3.153819486615969,0.3056994538826955,0.7586101962179056,0.2656422499202196
2,-21.860112439451182,0.16183916633294312,3.134726109793631,0.2661505636207184,0.7058786147585031,0.26254324615372443
3,-21.874914320283814,0.16284293070791667,3.1858661465588543,0.3260302749588244,0.7559420604020773,0.26060179461794747
4,-21.42462058639926,0.16348786599364928,3.087888066285961,0.2753344558404797,0.680467936502697,0.3203041045733218
5,-21.240614417734598,0.16284573357162582,3.000965162104749,0.28547105032821274,0.6697749595344633,0.34866693653753145
6,-21.865181027814,0.16269629756979456,3.0782530496042946,0.30156010311601766,0.7295301214180172,0.26165898532348786
7,-21.465602224431922,0.1581177137940545,3.1181720403542914,0.27489073065775016,0.6913378608802269,0.3142878734456072
8,-21.66196539646681,0.1617895550602484,3.156404526300804,0.28639488033098753,0.7324332327048537,0.28771846271164153
9,-21.621419440690172,0.15981471855652046,3.125566249067614,0.3086375815336681,0.7383674983278532,0.29326120374186565
10,-21.659678883446194,0.1600503711593672,3.1420995297673926,0.3281984510067847,0.7602940646739337,0.2878227811307876
11,-21.65843894974997,0.16284575072610052,3.1118807172393748,0.3348845952272542,0.7880273211761845,0.28839960859969904
12,-21.720008156167335,0.16233317163586847,3.1322414370613245,0.35275755343807685,0.7885389947975214,0.2800603456186158
13,-21.92689193526566,0.16211050952546185,3.1617387350917214,0.27988524730018693,0.7347373311407676,0.2547938376348466
14,-21.855241814402042,0.16170652748663858,3.1223670111239787,0.17349641918840042,0.5817474113187415,0.2623103186400775
15,-21.884220566736687,0.16139247984525232,3.152591597506836,0.34091270222305675,0.8036648744357282,0.2602558483373918
16,-21.90377665259752,0.16199750198889706,3.1646955390076017,0.28377885282327076,0.7185342330490314,0.25733237267671466
17,-21.307093451072884,0.16086850981136175,3.161990262452262,0.3642101163058637,0.7887424246226298,0.3382413687314349
18,-21.943397098750694,0.163980018713131,3.1501070252390306,0.2430428613008873,0.6572516361946457,0.2519440228191119
19,-21.654623649180458,0.16049166221371436,3.139588713162165,0.27344913959659195,0.6984666235510079,0.2881429795659832
20,-21.963868086508416,0.1627331925223347,3.1602332330419403,0.26553656916681795,0.6945445435257582,0.2499549307901331
21,-21.89788219096037,0.16499819864913728,3.119812951040119,0.2665307947297751,0.6864235468320148,0.2577259170867105
22,-21.73119029321718,0.16461987752242932,3.113991432618652,0.2629183491415844,0.6923126887824316,0.27837836497096824
23,-21.94925714774946,0.1635096964719989,3.2136885170853597,0.31776906461205445,0.7980793614939363,0.25277857895665673
24,-21.90673718199883,0.16256428520578486,3.133972238233902,0.29658435307756953,0.7218087434973046,0.2566753154482471
25,-21.22627556379267,0.1640411872212117,3.074058786894344,0.2835600827917492,0.7037706844926489,0.35083535927755105
26,-21.82703593649432,0.16464344609830323,3.1583309253865886,0.3335282600819337,0.7809489119052851,0.26671255914707603
27,-21.901036120288445,0.16445825772404327,3.129661518778335,0.3253237490233327,0.7838100860863078,0.2581876551800368
28,-21.9425023686485,0.16197958335539608,3.1286117590079017,0.2323559569245645,0.6530886851513533,0.25211194686622507
29,-21.397236593217244,0.16630008567717944,3.0423667586488548,0.2875051300163432,0.6932703212244399,0.32493000318026577
30,-21.906551620587543,0.16229272881388013,3.1784874155418943,0.2887947175356396,0.7297458229387708,0.2567313101058695
31,-21.83465682158308,0.16827683712274333,3.153819486615969,0.3056994538826955,0.7586101962179056,0.2656422499202196
32,-21.85166428987576,0.16113256974561038,3.138061810738368,0.2660655154233068,0.7102302272864005,0.26362076228464887
33,-21.874914320283814,0.16284293070791667,3.1858661465588543,0.3260302749588244,0.7559420604020773,0.26060179461794747
34,-21.42462058639926,0.16348786599364928,3.087888066285961,0.2753344558404797,0.680467936502697,0.3203041045733218
35,-21.240614417734598,0.16284573357162582,3.000965162104749,0.28547105032821274,0.6697749595344633,0.34866693653753145
36,-21.865181027814,0.16269629756979456,3.0782530496042946,0.30156010311601766,0.7295301214180172,0.26165898532348786
37,-21.465602224431922,0.1581177137940545,3.1181720403542914,0.27489073065775016,0.6913378608802269,0.3142878734456072
38,-21.66196539646681,0.1617895550602484,3.156404526300804,0.28639488033098753,0.7324332327048537,0.28771846271164153
39,-21.60819771492817,0.1598590449547253,3.1270983791873976,0.31097517002118696,0.740486455979308,0.2951532375725579
40,-21.659678883446194,0.1600503711593672,3.1420995297673926,0.3281984510067847,0.7602940646739337,0.2878227811307876
