name          redshift     t0       t0_err         x0         x0_err         x1          x1_err          c          c_err   mwebv      cov_x0x1       cov_x0c       cov_x1c  chiquad/dof modelo
5844.0     0.3108    53663.3   0.740394    4.51032e-05  2.90543e-06   -0.191082       0.747864     -0.209956      0.0683909    0.1066   -1.19011e-06  -1.45949e-07     0.00704077    1.03295    salt2_ori
05D2ac     0.479     53377.7   0.264386    1.51945e-05  1.15493e-07   -0.328822       0.170323     -0.0373909     0.0112609    0.0192   -3.358e-09    -6.91343e-10    -0.00021505    1.05189    salt2_ori
04D1ff     0.86      53250.6   0.348542    3.64087e-06  1.05516e-07    0.842476       0.308252     -0.00869065    0.103183     0.0273   -2.00465e-08   6.57771e-09    -0.000114002   1.21898    salt2_ori
3452.0     0.2304    53649.1   0.46757     8.24356e-05  5.39948e-06    1.12967        0.444871     -0.0720361     0.060408     0.059    -1.47028e-06  -2.86602e-07     0.00827329    1.02845    salt2_ori
4000.0     0.2786    53642.3   1.68305     3.64454e-05  4.12019e-06    0.238203       1.00427      -0.23224       0.135938     0.0252   -1.27408e-06  -4.59777e-07     0.00105243    0.880281   salt2_ori
14157.0    0.2115    54013.8   0.462949    0.000104558  5.39062e-06    1.53102        0.437565      0.0151814     0.0462091    0.1176   -1.30275e-06  -2.2259e-07      0.00520288    1.60214    salt2_ori
20687.0    0.189     54417.8   0.561589    0.000107254  1.43991e-05  -11.1033         2.64942      -0.303289      0.120186     0.0227   -1.52796e-05  -1.65472e-06     0.122442      1.58268    salt2_ori
16259.0    0.11908   54052.4   0.249394    0.000175079  2.41547e-06   -1.78132        0.368814      0.0647886     0.015883     0.0363   -4.00324e-07  -2.71234e-08     0.00298542    0.665786   salt2_ori
sn2001ep   0.013012  52200.2   0.0583888   0.0194685    0.000125647   -0.899279       0.0368102     0.0829478     0.00524565   0.047    -2.43433e-06  -5.85216e-07     5.64985e-05   2.59514    salt2_ori
19341.0    0.228     54393     0.417401    5.20361e-05  4.72888e-06   -2.54176        0.551424     -0.00939585    0.0845706    0.0346   -1.15721e-06  -3.60321e-07     0.00991456    0.470012   salt2_ori
sn2006al   0.06785   53787.1   0.558404    0.000806285  2.93309e-05   -1.27989        0.218714     -0.125588      0.0191342    0.026     2.60149e-06  -4.72609e-07    -0.00114101    1.72253    salt2_ori
06D2ck     0.552     53793.7   0.423218    7.69928e-06  1.74807e-07    0.0676917      0.435452      0.00640896    0.0273235    0.019    -6.36615e-08  -2.4605e-09      0.00444777    2.15154    salt2_ori
05D4cs     0.79      53588.8   0.532812    4.74335e-06  8.15728e-08    1.44102        0.295069     -0.21751       0.0789171    0.0283   -1.528e-08     5.849e-10       0.000444488   1.31222    salt2_ori
05D3jh     0.718     53495.1   1.11024     5.42879e-06  1.80025e-07   -1.37349        0.480952     -0.0415001     0.0729576    0.009     2.8362e-08   -7.41028e-09    -0.00611901    0.979753   salt2_ori
19969.0    0.17524   54408.6   0.384125    0.000109883  1.9007e-06     0.408339       0.386363      0.0475134     0.0160655    0.0314   -3.2617e-07   -2.09134e-08     0.00266621    0.996449   salt2_ori
13425.0    0.211     53992.4   2.55779     3.20026e-05  4.00542e-06   -1.20957        0.891109      0.274809      0.101501     0.0599    4.50388e-07  -3.44645e-07    -0.00108213    0.809245   salt2_ori
14816.0    0.10722   54021.3   0.110727    0.00031665   3.77043e-06   -0.577959       0.0993616     0.0238445     0.00986852   0.056    -2.07258e-07  -2.78832e-08     0.000345386   2.53546    salt2_ori
17240.0    0.07275   54353.7   0.393064    0.000205033  6.20917e-06   -0.782306       0.11383       0.520853      0.0152748    0.025    -1.45555e-07  -7.42868e-08     5.60281e-05  43.5873     salt2_ori
sn2003ch   0.03      52726.1   0.161805    0.00386563   3.66827e-05   -1.3592         0.107566     -0.0468421     0.00758967   0.07      2.98765e-07  -1.87379e-07    -4.12136e-05   5.19479    salt2_ori
20581.0    0.207     54418.7   1.46141     9.96502e-05  7.90613e-06    1.36116        1.4374       -0.103846      0.0753683    0.0713   -7.98747e-06  -5.64667e-07     0.0734617     0.51859    salt2_ori
20470.0    0.125     54422.3   0.831699    0.000169167  3.44612e-06    3.78855        0.700293      0.164751      0.0247708    0.1174   -1.93006e-06  -7.0824e-08      0.0146496     1.88673    salt2_ori
14331.0    0.214     54013.2   0.611975    5.27383e-05  4.12353e-06    0.11772        0.627794      0.0949916     0.071495     0.0221   -1.35598e-06  -2.60279e-07     0.00914221    0.925909   salt2_ori
